ts,side,outcome,R
2023-09-27 10:05:00-04:00,short,target,1.994469026548795
2023-09-28 09:55:00-04:00,long,target,1.9961366094885469
2023-10-03 09:50:00-04:00,long,stop,-1.0444613821126905
2023-10-04 10:05:00-04:00,short,stop,-1.0377317809392457
2023-10-05 09:40:00-04:00,short,target,1.9960164441187416
2023-10-06 10:15:00-04:00,long,target,1.9917844232667834
2023-10-09 09:45:00-04:00,long,stop,-1.0406976744176577
2023-10-11 09:45:00-04:00,short,target,1.9842767295607373
2023-10-12 09:45:00-04:00,short,stop,-1.172924901168662
2023-10-16 09:45:00-04:00,short,stop,-1.0451379932926186
2023-10-17 10:10:00-04:00,long,target,1.9965659340659812
2023-10-18 10:20:00-04:00,long,stop,-1.0226361402144273
2023-10-19 09:40:00-04:00,short,stop,-1.0534514355512077
2023-10-23 09:50:00-04:00,long,target,1.9961508852964411
2023-10-24 09:50:00-04:00,short,target,1.986878018056536
2023-10-25 10:55:00-04:00,short,stop,-1.0552050473168684
2023-10-26 11:00:00-04:00,short,target,1.9865951742634547
2023-10-27 10:55:00-04:00,long,stop,-1.0383351588162466
2023-10-30 10:15:00-04:00,short,timeout,
2023-10-31 10:10:00-04:00,long,target,1.994720168954705
2023-11-09 11:00:00-05:00,long,stop,-1.0441696113063044
2023-11-10 10:05:00-05:00,short,stop,-1.0852411105657487
2023-11-14 10:55:00-05:00,short,target,1.9768946395585127
2023-11-15 09:45:00-05:00,short,target,1.9820788530478788
2023-11-16 09:50:00-05:00,long,stop,-1.050461361013538
2023-11-17 09:55:00-05:00,long,stop,-1.0898357289481604
2023-11-20 10:15:00-05:00,short,stop,-1.080719557191846
2023-11-22 09:50:00-05:00,short,target,1.988656987296341
2023-11-27 10:00:00-05:00,long,target,1.9775583482964487
2023-11-28 10:05:00-05:00,long,target,1.9881796690312918
2023-11-29 10:05:00-05:00,short,target,1.9921334172437968
2023-11-30 11:00:00-05:00,long,stop,-1.0567444876764989
